Node,Distance_to_Midpoint
Node141,1.6074589336499998
Node182,1.6102180714499998
Node202,1.0828959433499998
Node205,1.08219851865
Node206,1.08811086745
Node211,1.11896659855
Node213,1.14380709915
Node216,1.0856096187500002
Node218,1.18012105195
Node236,1.6273836538500002
Node252,1.44704064635
Node278,1.54396282575
Node283,1.40144941345
Node301,1.48326517705
Node307,1.14436444355
Node316,1.1956858051500001
Node325,1.29498376925
Node327,1.37587651375
Node362,1.4207292147500001
Node365,1.32281680495
Node402,1.34086322795
Node407,1.51241963415
Node408,1.34457854785
Node413,1.33658640915
Node421,1.6464888966500002
Node430,1.69365523055
Node439,1.68802050275
Node448,1.70466834285
Node450,1.77704967265
Node472,1.53128448845
Node507,1.60489367315
Node510,1.66686802195
Node512,1.56921595025
Node526,1.69271730695
Node536,1.78583910575
Node541,1.82577775085
Node544,1.83426377695
Node546,1.78587580115
Node551,1.72427799115
Node622,1.80890386895
Node629,1.99758832875
Node630,2.01392343305
Node632,1.8504568595500002
Node640,1.86564487585
Node645,1.8368081705500001
Node651,1.85718394935
Node653,1.98739947385
Node659,1.95552730145
Node670,1.58355341595
Node671,1.6182092671500001
Node686,1.71317477555
Node688,1.94139100145
Node691,1.68090964775
Node697,1.73220958175
Node706,1.73641439955
Node710,1.75450757715
Node40,1.7936269646499998
Node62,1.8634668190499997
Node67,1.23253916695
Node76,1.33468142115
Node86,1.2440560923500001
Node88,1.23367920415
Node90,1.2535721724499997
Node95,1.2988516525499998
Node101,1.21542103185
Node104,1.2540697748499998
Node106,1.2557556362499998
Node108,1.20266500675
Node122,1.5140374560499998
Node128,1.4165464281499998
Node142,1.63594398555
Node181,1.6814508062499998
Node183,1.6922087655499998
Node203,1.13994977145
Node207,1.15501742085
Node212,1.16633054505
Node217,1.14190936805
Node237,1.8201869596500002
Node244,1.70007727955
Node253,1.48965856225
Node277,1.51254273955
Node284,1.44657932155
Node297,1.4568134747500001
Node302,1.68711352815
Node303,1.57932762045
Node308,1.22757303315
Node310,1.1817497219500002
Node328,1.45391189135
Node329,1.43981271185
Node366,1.37762993365
Node398,1.39732436145
Node403,1.40034544605
Node409,1.41907342635
Node414,1.43143974245
Node431,1.73880156405
Node438,1.7569969011500002
Node440,1.70729738075
Node449,1.88932416875
Node451,1.8322308576500002
Node466,1.89517633815
Node473,1.5939282246500002
Node503,1.57030063295
Node508,1.69010344615
Node511,1.87971758775
Node513,1.75394504675
Node527,1.80657971755
Node529,1.72504067775
Node537,1.87258322745
Node542,1.8617728606500001
Node547,1.84644050065
Node552,1.75475703835
Node599,1.7760882871500001
Node633,1.87327642375
Node637,1.96460516035
Node646,1.8963432388500001
Node672,1.65455591985
Node687,1.81137594805
Node692,1.73223110475
Node695,1.72707803925
Node698,1.78079760545
Node702,1.77985998475
Node707,1.78745961025
Node711,1.80096007245
Node41,1.8218625325499997
Node63,1.9613669413499997
Node68,1.3780074709499999
Node77,1.42705641155
Node89,1.2927867716499999
Node91,1.3285707999499998
Node105,1.4605896777499998
Node109,1.36848125345
Node123,1.5960980030499998
Node126,1.5785842039499998
Node143,1.67035020055
Node163,1.65583067335
Node184,1.7909439518499999
Node238,1.9687784560500001
Node245,1.7871560875499999
Node254,1.54529439405
